"","TP","FP","TN","FN","method"
"1",30,5,1087,103,"lasso1"
"2",69,37,1055,64,"lasso2"
"3",89,56,1036,44,"glasso"
"4",33,9,1083,100,"lasso1"
"5",89,48,1044,44,"lasso2"
"6",112,97,995,21,"glasso"
"7",36,11,1081,97,"lasso1"
"8",78,49,1043,55,"lasso2"
"9",124,232,860,9,"glasso"
"10",36,3,1089,97,"lasso1"
"11",75,24,1068,58,"lasso2"
"12",127,349,743,6,"glasso"
"13",23,6,1086,110,"lasso1"
"14",74,39,1053,59,"lasso2"
"15",100,82,1010,33,"glasso"
"16",30,7,1085,103,"lasso1"
"17",59,21,1071,74,"lasso2"
"18",111,149,943,22,"glasso"
"19",18,2,1090,115,"lasso1"
"20",67,21,1071,66,"lasso2"
"21",115,129,963,18,"glasso"
"22",28,1,1091,105,"lasso1"
"23",73,33,1059,60,"lasso2"
"24",124,385,707,9,"glasso"
"25",13,0,1092,120,"lasso1"
"26",51,7,1085,82,"lasso2"
"27",128,339,753,5,"glasso"
"28",17,3,1089,116,"lasso1"
"29",68,32,1060,65,"lasso2"
"30",127,357,735,6,"glasso"
"31",24,5,1087,109,"lasso1"
"32",58,23,1069,75,"lasso2"
"33",107,88,1004,26,"glasso"
"34",17,3,1089,116,"lasso1"
"35",59,16,1076,74,"lasso2"
"36",120,223,869,13,"glasso"
"37",24,6,1086,109,"lasso1"
"38",71,22,1070,62,"lasso2"
"39",128,545,547,5,"glasso"
"40",40,11,1081,93,"lasso1"
"41",76,54,1038,57,"lasso2"
"42",120,251,841,13,"glasso"
"43",27,6,1086,106,"lasso1"
"44",58,40,1052,75,"lasso2"
"45",119,235,857,14,"glasso"
"46",34,3,1089,99,"lasso1"
"47",63,20,1072,70,"lasso2"
"48",124,351,741,9,"glasso"
"49",31,9,1083,102,"lasso1"
"50",59,49,1043,74,"lasso2"
"51",127,505,587,6,"glasso"
"52",39,11,1081,94,"lasso1"
"53",72,23,1069,61,"lasso2"
"54",123,357,735,10,"glasso"
"55",24,1,1091,109,"lasso1"
"56",69,20,1072,64,"lasso2"
"57",102,80,1012,31,"glasso"
"58",30,2,1090,103,"lasso1"
"59",80,45,1047,53,"lasso2"
"60",128,379,713,5,"glasso"
"61",29,0,1092,104,"lasso1"
"62",75,20,1072,58,"lasso2"
"63",125,344,748,8,"glasso"
"64",17,2,1090,116,"lasso1"
"65",52,21,1071,81,"lasso2"
"66",128,351,741,5,"glasso"
"67",34,9,1083,99,"lasso1"
"68",68,37,1055,65,"lasso2"
"69",122,166,926,11,"glasso"
"70",30,5,1087,103,"lasso1"
"71",75,32,1060,58,"lasso2"
"72",122,242,850,11,"glasso"
"73",26,3,1089,107,"lasso1"
"74",71,30,1062,62,"lasso2"
"75",116,167,925,17,"glasso"
"76",27,3,1089,106,"lasso1"
"77",56,22,1070,77,"lasso2"
"78",126,357,735,7,"glasso"
"79",37,10,1082,96,"lasso1"
"80",79,29,1063,54,"lasso2"
"81",111,129,963,22,"glasso"
"82",14,2,1090,119,"lasso1"
"83",62,28,1064,71,"lasso2"
"84",103,86,1006,30,"glasso"
"85",33,3,1089,100,"lasso1"
"86",69,27,1065,64,"lasso2"
"87",112,81,1011,21,"glasso"
"88",38,4,1088,95,"lasso1"
"89",70,28,1064,63,"lasso2"
"90",125,331,761,8,"glasso"
"91",35,3,1089,98,"lasso1"
"92",77,46,1046,56,"lasso2"
"93",114,170,922,19,"glasso"
"94",19,6,1086,114,"lasso1"
"95",68,21,1071,65,"lasso2"
"96",130,548,544,3,"glasso"
"97",21,1,1091,112,"lasso1"
"98",66,20,1072,67,"lasso2"
"99",129,377,715,4,"glasso"
"100",24,3,1089,109,"lasso1"
"101",57,38,1054,76,"lasso2"
"102",121,239,853,12,"glasso"
"103",28,2,1090,105,"lasso1"
"104",63,15,1077,70,"lasso2"
"105",130,371,721,3,"glasso"
"106",32,7,1085,101,"lasso1"
"107",64,30,1062,69,"lasso2"
"108",121,225,867,12,"glasso"
"109",28,3,1089,105,"lasso1"
"110",58,18,1074,75,"lasso2"
"111",50,8,1084,83,"glasso"
"112",35,8,1084,98,"lasso1"
"113",74,26,1066,59,"lasso2"
"114",127,332,760,6,"glasso"
"115",29,8,1084,104,"lasso1"
"116",65,27,1065,68,"lasso2"
"117",129,332,760,4,"glasso"
"118",37,5,1087,96,"lasso1"
"119",78,36,1056,55,"lasso2"
"120",118,148,944,15,"glasso"
"121",37,3,1089,96,"lasso1"
"122",72,45,1047,61,"lasso2"
"123",127,236,856,6,"glasso"
"124",31,13,1079,102,"lasso1"
"125",77,55,1037,56,"lasso2"
"126",128,359,733,5,"glasso"
"127",24,3,1089,109,"lasso1"
"128",63,22,1070,70,"lasso2"
"129",109,168,924,24,"glasso"
"130",17,8,1084,116,"lasso1"
"131",51,36,1056,82,"lasso2"
"132",115,168,924,18,"glasso"
"133",25,3,1089,108,"lasso1"
"134",63,21,1071,70,"lasso2"
"135",85,29,1063,48,"glasso"
"136",36,4,1088,97,"lasso1"
"137",77,28,1064,56,"lasso2"
"138",126,277,815,7,"glasso"
"139",12,1,1091,121,"lasso1"
"140",48,22,1070,85,"lasso2"
"141",108,129,963,25,"glasso"
"142",36,10,1082,97,"lasso1"
"143",85,38,1054,48,"lasso2"
"144",127,232,860,6,"glasso"
"145",18,3,1089,115,"lasso1"
"146",72,30,1062,61,"lasso2"
"147",106,92,1000,27,"glasso"
"148",31,2,1090,102,"lasso1"
"149",63,41,1051,70,"lasso2"
"150",103,106,986,30,"glasso"
