"","lambda","TP","FP","TN","FN"
"1",0.7,90,60,1041,34
"2",0.6,95,71,1030,29
"3",0.5,103,98,1003,21
"4",0.6,90,74,1027,34
"5",0.7,86,59,1042,38
"6",0.6,102,81,1020,22
"7",0.6,97,73,1028,27
"8",0.5,101,88,1013,23
"9",0.6,93,80,1021,31
"10",0.7,88,63,1038,36
"11",0.5,109,109,992,15
"12",0.4,107,102,999,17
"13",0.6,97,100,1001,27
"14",0.6,96,69,1032,28
"15",0.5,107,104,997,17
"16",0.4,114,113,988,10
"17",0.6,92,80,1021,32
"18",0.6,97,77,1024,27
"19",0.5,105,99,1002,19
"20",0.5,94,69,1032,30
"21",0.6,93,72,1029,31
"22",0.7,89,50,1051,35
"23",0.4,107,111,990,17
"24",0.7,85,67,1034,39
"25",0.5,95,95,1006,29
"26",0.5,100,101,1000,24
"27",0.5,104,83,1018,20
"28",0.8,78,41,1060,46
"29",0.5,105,106,995,19
"30",0.5,105,101,1000,19
"31",0.4,111,135,966,13
"32",0.4,115,108,993,9
"33",0.5,104,95,1006,20
"34",0.7,88,53,1048,36
"35",0.6,96,85,1016,28
"36",0.5,103,98,1003,21
"37",0.7,88,62,1039,36
"38",0.6,97,76,1025,27
"39",0.4,114,134,967,10
"40",0.6,97,87,1014,27
"41",0.4,116,126,975,8
"42",0.4,114,125,976,10
"43",0.5,98,97,1004,26
"44",0.5,105,100,1001,19
"45",0.6,99,74,1027,25
"46",0.5,111,99,1002,13
"47",0.6,99,84,1017,25
"48",0.4,115,124,977,9
"49",0.5,99,95,1006,25
"50",0.4,112,116,985,12
