"","TP","FP","TN","FN","method","n","time"
"1",6,2,1090,127,"lasso1",50,6.30667400360107
"2",14,2,1090,119,"lasso1",150,4.99371314048767
"3",25,3,1089,108,"lasso1",250,4.4404149055481
"4",86,10,1082,47,"lasso1",350,4.92449903488159
"5",100,7,1085,33,"lasso1",450,4.41802096366882
"6",108,11,1081,25,"lasso1",550,4.33331608772278
"7",117,5,1087,16,"lasso1",650,5.90228915214539
"8",123,14,1078,10,"lasso1",750,5.55824398994446
"9",122,5,1087,11,"lasso1",850,6.01803612709045
"10",126,12,1080,7,"lasso1",950,6.02232599258423
"11",130,6,1086,3,"lasso1",1050,7.87981510162354
"12",128,1,1091,5,"lasso1",1150,5.44897985458374
"13",131,2,1090,2,"lasso1",1250,5.61248207092285
"14",131,3,1089,2,"lasso1",1350,5.7753598690033
"15",131,10,1082,2,"lasso1",1450,9.08639192581177
"16",133,3,1089,0,"lasso1",1550,6.02851796150208
"17",133,2,1090,0,"lasso1",1650,7.91799211502075
"18",133,2,1090,0,"lasso1",1750,5.62960290908813
"19",133,6,1086,0,"lasso1",1850,5.26583814620972
"20",133,5,1087,0,"lasso1",1950,7.23316121101379
"21",132,5,1087,1,"lasso1",2050,9.23480415344238
"22",9,23,1069,124,"lasso2",50,3.34472298622131
"23",27,11,1081,106,"lasso2",150,4.2111451625824
"24",103,52,1040,30,"lasso2",250,4.16063904762268
"25",103,22,1070,30,"lasso2",350,4.17016911506653
"26",116,27,1065,17,"lasso2",450,5.72824907302856
"27",126,44,1048,7,"lasso2",550,6.27913403511047
"28",129,24,1068,4,"lasso2",650,5.48429417610168
"29",132,30,1062,1,"lasso2",750,4.22241687774658
"30",131,19,1073,2,"lasso2",850,4.39355397224426
"31",132,38,1054,1,"lasso2",950,4.81975889205933
"32",133,16,1076,0,"lasso2",1050,5.3270001411438
"33",133,17,1075,0,"lasso2",1150,4.9845290184021
"34",133,19,1073,0,"lasso2",1250,5.47960996627808
"35",132,15,1077,1,"lasso2",1350,5.43987798690796
"36",133,13,1079,0,"lasso2",1450,6.74480295181274
"37",133,19,1073,0,"lasso2",1550,6.35161781311035
"38",133,14,1078,0,"lasso2",1650,7.80350589752197
"39",133,23,1069,0,"lasso2",1750,9.05689692497253
"40",133,10,1082,0,"lasso2",1850,8.14088296890259
"41",133,13,1079,0,"lasso2",1950,5.78183698654175
"42",133,13,1079,0,"lasso2",2050,6.17160606384277
"43",115,838,254,18,"glasso",50,0.0734438896179199
"44",132,824,268,1,"glasso",150,0.0490279197692871
"45",132,744,348,1,"glasso",250,0.0471251010894775
"46",133,695,397,0,"glasso",350,0.0406720638275146
"47",133,688,404,0,"glasso",450,0.0467250347137451
"48",133,628,464,0,"glasso",550,0.0436408519744873
"49",133,596,496,0,"glasso",650,0.0427160263061523
"50",133,566,526,0,"glasso",750,0.061290979385376
"51",133,538,554,0,"glasso",850,0.0437660217285156
"52",133,502,590,0,"glasso",950,0.042186975479126
"53",133,513,579,0,"glasso",1050,0.0466690063476562
"54",133,478,614,0,"glasso",1150,0.0457899570465088
"55",133,435,657,0,"glasso",1250,0.0776958465576172
"56",133,448,644,0,"glasso",1350,0.0630369186401367
"57",133,429,663,0,"glasso",1450,0.0423448085784912
"58",133,392,700,0,"glasso",1550,0.0676760673522949
"59",133,349,743,0,"glasso",1650,0.0417311191558838
"60",133,395,697,0,"glasso",1750,0.0444419384002686
"61",133,349,743,0,"glasso",1850,0.0405948162078857
"62",133,353,739,0,"glasso",1950,0.042963981628418
"63",133,342,750,0,"glasso",2050,0.0610959529876709
