"","TP","FP","TN","FN","method","n","time"
"1",128,842,250,5,"glasso",100,0.088447093963623
"2",133,626,466,0,"glasso",600,0.058974027633667
"3",133,488,604,0,"glasso",1100,0.0687949657440186
"4",133,398,694,0,"glasso",1600,0.0498800277709961
"5",133,364,728,0,"glasso",2100,0.0488262176513672
"6",133,274,818,0,"glasso",2600,0.0845432281494141
"7",133,249,843,0,"glasso",3100,0.0979340076446533
"8",133,240,852,0,"glasso",3600,0.135036945343018
"9",133,193,899,0,"glasso",4100,0.113884925842285
"10",133,191,901,0,"glasso",4600,0.11900782585144
"11",133,171,921,0,"glasso",5100,0.0397539138793945
"12",133,149,943,0,"glasso",5600,0.0588691234588623
"13",133,140,952,0,"glasso",6100,0.0533092021942139
"14",133,129,963,0,"glasso",6600,0.1127610206604
"15",133,105,987,0,"glasso",7100,0.0576550960540771
"16",133,116,976,0,"glasso",7600,0.050372838973999
"17",133,98,994,0,"glasso",8100,0.321566104888916
"18",133,91,1001,0,"glasso",8600,0.0415821075439453
"19",133,85,1007,0,"glasso",9100,0.0454938411712646
"20",133,81,1011,0,"glasso",9600,0.046968936920166
"21",133,81,1011,0,"glasso",10100,0.0663700103759766
"22",133,72,1020,0,"glasso",10600,0.0442440509796143
"23",133,75,1017,0,"glasso",11100,0.0502440929412842
"24",133,63,1029,0,"glasso",11600,0.0724709033966064
"25",133,59,1033,0,"glasso",12100,0.0510289669036865
"26",133,50,1042,0,"glasso",12600,0.0721120834350586
"27",133,58,1034,0,"glasso",13100,0.211987972259521
"28",133,37,1055,0,"glasso",13600,0.0751769542694092
"29",133,50,1042,0,"glasso",14100,0.0539050102233887
"30",133,46,1046,0,"glasso",14600,0.0626299381256104
"31",133,36,1056,0,"glasso",15100,0.0619499683380127
"32",133,45,1047,0,"glasso",15600,0.0611460208892822
"33",133,36,1056,0,"glasso",16100,0.0642490386962891
"34",133,29,1063,0,"glasso",16600,0.0650348663330078
"35",133,49,1043,0,"glasso",17100,0.0619430541992188
"36",133,38,1054,0,"glasso",17600,0.202892065048218
"37",133,39,1053,0,"glasso",18100,0.0769031047821045
"38",133,32,1060,0,"glasso",18600,0.0684311389923096
"39",133,35,1057,0,"glasso",19100,0.0739510059356689
"40",133,32,1060,0,"glasso",19600,0.0892510414123535
