"","TP","FP","TN","FN","method","p","time"
"1",4,0,41,0,"lasso1",10,1.62435102462769
"2",18,1,164,7,"lasso1",20,2.34861588478088
"3",31,1,391,12,"lasso1",30,3.53390097618103
"4",62,8,697,13,"lasso1",40,3.62920308113098
"5",28,5,1089,103,"lasso1",50,5.01621413230896
"6",47,9,1592,122,"lasso1",60,5.46945309638977
"7",116,30,2126,143,"lasso1",70,11.2420148849487
"8",154,47,2806,153,"lasso1",80,7.99843192100525
"9",234,60,3554,157,"lasso1",90,9.49312782287598
"10",328,147,4318,157,"lasso1",100,11.3204441070557
"11",71,21,5364,539,"lasso1",110,11.1359028816223
"12",90,28,6435,587,"lasso1",120,12.7273881435394
"13",96,32,7548,709,"lasso1",130,19.5377810001373
"14",228,87,8683,732,"lasso1",140,17.446729183197
"15",332,117,9940,786,"lasso1",150,16.8210778236389
"16",7,2,36,0,"lasso2",10,0.515415906906128
"17",21,2,166,1,"lasso2",20,1.10624504089355
"18",33,11,388,3,"lasso2",30,2.19750499725342
"19",80,46,651,3,"lasso2",40,2.97972011566162
"20",114,98,1009,4,"lasso2",50,3.82888793945312
"21",111,74,1502,83,"lasso2",60,5.84693884849548
"22",165,100,2077,73,"lasso2",70,6.73606991767883
"23",240,112,2720,88,"lasso2",80,10.8034019470215
"24",331,276,3322,76,"lasso2",90,11.423919916153
"25",342,241,4270,97,"lasso2",100,13.2346029281616
"26",187,111,5264,433,"lasso2",110,16.6743469238281
"27",232,168,6268,472,"lasso2",120,13.2145600318909
"28",357,240,7297,491,"lasso2",130,15.4576981067657
"29",483,423,8296,528,"lasso2",140,20.7672560214996
"30",546,531,9542,556,"lasso2",150,22.4129829406738
"31",5,28,12,0,"glasso",10,0.0138239860534668
"32",23,125,42,0,"glasso",20,0.0171351432800293
"33",43,281,111,0,"glasso",30,0.0520298480987549
"34",83,498,199,0,"glasso",40,0.0655438899993896
"35",113,787,321,4,"glasso",50,0.037592887878418
"36",175,1121,473,1,"glasso",60,0.110435009002686
"37",233,1509,671,2,"glasso",70,0.163507223129272
"38",329,1973,855,3,"glasso",80,0.285902976989746
"39",363,2525,1091,26,"glasso",90,0.191554069519043
"40",482,3090,1372,6,"glasso",100,1.01898288726807
"41",578,3695,1687,35,"glasso",110,0.384800910949707
"42",689,4390,2012,49,"glasso",120,0.573266983032227
"43",790,5066,2468,61,"glasso",130,0.648002862930298
"44",872,5977,2822,59,"glasso",140,1.90985488891602
"45",1078,6758,3251,88,"glasso",150,1.56862211227417
