"","TP","FP","TN","FN","method","q","time"
"1",30,5,1087,103,"lasso1",0.1,4.96129202842712
"2",31,6,1065,123,"lasso1",0.15,3.63551807403564
"3",202,58,896,69,"lasso1",0.2,3.64236998558044
"4",199,66,860,100,"lasso1",0.25,4.11914300918579
"5",50,12,858,305,"lasso1",0.3,4.84348607063293
"6",53,24,772,376,"lasso1",0.35,4.75859498977661
"7",90,30,675,430,"lasso1",0.4,4.80361986160278
"8",97,28,625,475,"lasso1",0.45,4.17723488807678
"9",140,78,539,468,"lasso1",0.5,4.70696115493774
"10",103,63,492,567,"lasso1",0.55,3.50148797035217
"11",91,60,425,649,"lasso1",0.6,4.99001693725586
"12",85,58,383,699,"lasso1",0.65,4.25812292098999
"13",31,22,316,856,"lasso1",0.7,4.42705416679382
"14",21,16,278,910,"lasso1",0.75,4.63506293296814
"15",185,148,103,789,"lasso1",0.8,4.03343105316162
"16",51,88,97,989,"lasso1",0.85,4.06370306015015
"17",22,39,74,1090,"lasso1",0.9,4.55444002151489
"18",64,23,1065,73,"lasso2",0.1,5.10922408103943
"19",114,75,968,68,"lasso2",0.15,3.53301000595093
"20",220,128,825,52,"lasso2",0.2,4.72882699966431
"21",157,82,825,161,"lasso2",0.25,3.63382697105408
"22",117,60,827,221,"lasso2",0.3,4.82947397232056
"23",211,119,683,212,"lasso2",0.35,4.05913305282593
"24",192,95,641,297,"lasso2",0.4,3.75954699516296
"25",243,147,558,277,"lasso2",0.45,4.20230293273926
"26",301,162,427,335,"lasso2",0.5,4.97249412536621
"27",274,147,430,374,"lasso2",0.55,4.85261797904968
"28",277,158,322,468,"lasso2",0.6,4.11444306373596
"29",304,172,297,452,"lasso2",0.65,5.04372191429138
"30",173,92,263,697,"lasso2",0.7,4.73888397216797
"31",172,104,227,722,"lasso2",0.75,5.28764009475708
"32",259,179,75,712,"lasso2",0.8,5.81125593185425
"33",220,150,49,806,"lasso2",0.85,4.54354095458984
"34",139,96,36,954,"lasso2",0.9,5.16602110862732
"35",107,817,301,0,"glasso",0.1,0.0970098972320557
"36",170,761,288,6,"glasso",0.15,0.050480842590332
"37",246,689,285,5,"glasso",0.2,0.0827279090881348
"38",279,646,268,32,"glasso",0.25,0.0493359565734863
"39",344,620,230,31,"glasso",0.3,0.0516829490661621
"40",377,612,200,36,"glasso",0.35,0.0569901466369629
"41",463,543,179,40,"glasso",0.4,0.0593709945678711
"42",482,504,185,54,"glasso",0.45,0.105049133300781
"43",531,468,147,79,"glasso",0.5,0.0978190898895264
"44",614,409,111,91,"glasso",0.55,0.102482080459595
"45",616,398,109,102,"glasso",0.6,0.0692720413208008
"46",688,349,85,103,"glasso",0.65,0.0492761135101318
"47",693,312,68,152,"glasso",0.7,0.0712399482727051
"48",743,271,49,162,"glasso",0.75,0.054534912109375
"49",823,251,13,138,"glasso",0.8,0.168296098709106
"50",814,194,7,210,"glasso",0.85,0.104016065597534
"51",870,123,3,229,"glasso",0.9,0.0664310455322266
